registry_ordinal,problem_id,difficulty,task_family,track_type,scenario_type,training_seeds,holdout_seeds,target_rmse,target_max_error,min_pass_rate,physical_effect_contracts_sha256
1,easy-hover-calm,easy,takeoff_hover,hover,nominal,10011>10012,20011>20012,0.35,0.9,1.0,5c15d13d06cb91431468b2bfd5545f4c3738ef2703fea3f1d43053f8e6fda20c
2,easy-circle-calm,easy,orbit_inspection,circle,nominal,10021>10022,20021>20022,0.35,0.9,1.0,e791cab9fe72d43a1a5cfdde7a7ecd65cf6aed040427eb202a0b31233529fbe5
3,representative-u-turn-calm,representative,direction_reversal,u_turn,nominal,10031>10032,20031>20032,0.55,1.35,1.0,3d63a390b2220cbc004f63d28e044a00ec3662923c6e1b0ae4764690ecec5853
4,representative-lemniscate-calm,representative,continuous_turning,lemniscate,nominal,10041>10042,20041>20042,0.55,1.35,1.0,393c02745ef2e154cd727a80fadd9c48edd9ada24811276bbeb280ab085ffa82
5,representative-hover-crosswind,representative,station_keeping,hover,wind_perturbed,10051>10052,20051>20052,0.55,1.35,1.0,4ccf28d66ef0ddb9f1bb95f93a2b7ae632e9c1726e8ee6fd5a795159e5730aa3
6,representative-circle-crosswind,representative,orbit_inspection,circle,wind_perturbed,10061>10062,20061>20062,0.55,1.35,1.0,657f12b78219dc7149261b5a7c016e932def6991a2c3b035b6e4091be485b1b1
7,representative-u-turn-crosswind,representative,direction_reversal,u_turn,wind_perturbed,10071>10072,20071>20072,0.55,1.35,1.0,fcddb4ee7862620aaa68934c4346f05689c81c879ed5ea08297323ed64ab40e3
8,representative-circle-gust,representative,orbit_inspection,circle,turbulence,10081>10082,20081>20082,0.55,1.35,1.0,8af79add32ab40a05e68edf4084d864b643d47b093f70fda66e46d2eccbd9e35
9,representative-hover-sensor-noise,representative,station_keeping,hover,noise_perturbed,10091>10092,20091>20092,0.55,1.35,1.0,000fe280ab0e2a6a63d4c92070a3185113e270da0db6b9bd1d8e6e39b92ac47d
10,representative-lemniscate-sensor-noise,representative,continuous_turning,lemniscate,noise_perturbed,10101>10102,20101>20102,0.55,1.35,1.0,a9570b31c639c3994cf34f8797b6487481753b5e0a8dad091a242d514bf58e4a
11,representative-hover-payload,representative,payload_station_keeping,hover,payload_changed,10111>10112,20111>20112,0.55,1.35,1.0,389692e6de2b2d5f5f0a6c792d4f88b5b85d87e1230634702eb45fde261f0ad7
12,representative-circle-battery-sag,representative,orbit_inspection,circle,battery_degraded,10121>10122,20121>20122,0.55,1.35,1.0,1b1d4b8f204e94037a3b9fc8b02c03abab01a63fc64a743c6ad2e22bfc196fd3
13,representative-rectangle-inspection,representative,perimeter_inspection,custom,nominal,10131>10132,20131>20132,0.55,1.35,1.0,2eb5fd71c03d0f547209a69909bfea6bcf4b0fd5d8a22de373661400176dd250
14,representative-aisle-crosswind,representative,aisle_inspection,custom,wind_perturbed,10141>10142,20141>20142,0.55,1.35,1.0,8a63c9aad75851dbb51c858372d46bfe4a7d2ee0746c371f67b20b13c5120b31
15,representative-circle-wind-noise,representative,orbit_inspection,circle,combined_perturbed,10151>10152,20151>20152,0.55,1.35,1.0,ccbf3c051f365437bfb068046ba6d6caf996af90194c4f25e0026a390cc4935f
16,hard-lemniscate-gust-noise,hard,continuous_turning,lemniscate,combined_perturbed,10161>10162,20161>20162,0.8,1.8,1.0,029317e4dee1708af4b2eb576bdf20c528d5b0f562729380e1d547861d5f21c8
17,hard-rectangle-wind-payload,hard,perimeter_inspection,custom,combined_perturbed,10171>10172,20171>20172,0.8,1.8,1.0,28c72e7df89beec5de4b9dfe2fbf0b094242cc20f688cb20f73403f5ee92e095
18,hard-hover-wind-dropout,hard,station_keeping,hover,combined_perturbed,10181>10182,20181>20182,0.8,1.8,1.0,4b258422c44448a2b404680a0ce9651fb9553c4a1feb8dbeafb84891f676377e
